,index,concept,pal,accuracy,source,pal_conc
257,21373,banana,0,1.0,data,0banana
258,21401,banana,0,1.0,data,0banana
259,21444,banana,0,1.0,data,0banana
260,21486,banana,0,1.0,data,0banana
261,21531,banana,0,1.0,data,0banana
262,21564,banana,0,1.0,data,0banana
263,21607,banana,0,1.0,data,0banana
264,21933,banana,0,0.0,data,0banana
265,21953,banana,0,1.0,data,0banana
266,22006,banana,0,1.0,data,0banana
267,22023,banana,0,1.0,data,0banana
268,22082,banana,0,1.0,data,0banana
269,22100,banana,0,1.0,data,0banana
270,22132,banana,0,0.0,data,0banana
271,22167,banana,0,0.0,data,0banana
272,23094,banana,0,1.0,data,0banana
273,23119,banana,0,1.0,data,0banana
274,23165,banana,0,1.0,data,0banana
275,23206,banana,0,1.0,data,0banana
276,23251,banana,0,1.0,data,0banana
277,23257,banana,0,1.0,data,0banana
278,23320,banana,0,1.0,data,0banana
279,23324,banana,0,1.0,data,0banana
280,23687,banana,0,1.0,data,0banana
281,23720,banana,0,1.0,data,0banana
282,23757,banana,0,1.0,data,0banana
283,23778,banana,0,1.0,data,0banana
284,23804,banana,0,1.0,data,0banana
285,23841,banana,0,1.0,data,0banana
286,23895,banana,0,1.0,data,0banana
287,23926,banana,0,0.0,data,0banana
288,24550,banana,0,1.0,data,0banana
289,24591,banana,0,1.0,data,0banana
290,24612,banana,0,1.0,data,0banana
291,24661,banana,0,0.0,data,0banana
292,24690,banana,0,1.0,data,0banana
293,24727,banana,0,0.0,data,0banana
294,24765,banana,0,0.0,data,0banana
295,24812,banana,0,1.0,data,0banana
296,24845,banana,0,1.0,data,0banana
297,24879,banana,0,1.0,data,0banana
298,24898,banana,0,1.0,data,0banana
299,24936,banana,0,1.0,data,0banana
300,24994,banana,0,1.0,data,0banana
301,25021,banana,0,1.0,data,0banana
302,25043,banana,0,1.0,data,0banana
303,25096,banana,0,1.0,data,0banana
304,25728,banana,0,1.0,data,0banana
305,25744,banana,0,1.0,data,0banana
306,25806,banana,0,1.0,data,0banana
307,25827,banana,0,1.0,data,0banana
308,25863,banana,0,1.0,data,0banana
309,25914,banana,0,1.0,data,0banana
310,25937,banana,0,1.0,data,0banana
311,25965,banana,0,1.0,data,0banana
312,27165,banana,0,1.0,data,0banana
313,27217,banana,0,0.0,data,0banana
314,27264,banana,0,0.0,data,0banana
315,27291,banana,0,0.0,data,0banana
316,27330,banana,0,0.0,data,0banana
317,27355,banana,0,0.0,data,0banana
318,27378,banana,0,1.0,data,0banana
319,27424,banana,0,0.0,data,0banana
320,27771,banana,0,1.0,data,0banana
321,27794,banana,0,1.0,data,0banana
322,27843,banana,0,1.0,data,0banana
323,27861,banana,0,1.0,data,0banana
324,27896,banana,0,1.0,data,0banana
325,27941,banana,0,1.0,data,0banana
326,27974,banana,0,1.0,data,0banana
327,28008,banana,0,1.0,data,0banana
328,28047,banana,0,1.0,data,0banana
329,28095,banana,0,0.0,data,0banana
330,28136,banana,0,0.0,data,0banana
331,28178,banana,0,1.0,data,0banana
332,28185,banana,0,0.0,data,0banana
333,28248,banana,0,0.0,data,0banana
334,28254,banana,0,0.0,data,0banana
335,28309,banana,0,0.0,data,0banana
336,28330,banana,0,0.0,data,0banana
337,28392,banana,0,0.0,data,0banana
338,28405,banana,0,0.0,data,0banana
339,28450,banana,0,0.0,data,0banana
340,28491,banana,0,0.0,data,0banana
341,28513,banana,0,0.0,data,0banana
342,28579,banana,0,0.0,data,0banana
343,28608,banana,0,0.0,data,0banana
344,312,banana,4,1.0,data,4banana
345,334,banana,4,1.0,data,4banana
346,373,banana,4,1.0,data,4banana
347,425,banana,4,1.0,data,4banana
348,466,banana,4,1.0,data,4banana
349,500,banana,4,1.0,data,4banana
350,543,banana,4,1.0,data,4banana
351,563,banana,4,1.0,data,4banana
352,589,banana,4,1.0,data,4banana
353,637,banana,4,1.0,data,4banana
354,668,banana,4,1.0,data,4banana
355,707,banana,4,1.0,data,4banana
356,764,banana,4,1.0,data,4banana
357,782,banana,4,1.0,data,4banana
358,814,banana,4,1.0,data,4banana
359,859,banana,4,1.0,data,4banana
360,901,banana,4,1.0,data,4banana
361,934,banana,4,1.0,data,4banana
362,983,banana,4,1.0,data,4banana
363,1012,banana,4,1.0,data,4banana
364,1058,banana,4,1.0,data,4banana
365,1075,banana,4,1.0,data,4banana
366,1096,banana,4,1.0,data,4banana
367,1145,banana,4,1.0,data,4banana
368,2066,banana,4,1.0,data,4banana
369,2084,banana,4,1.0,data,4banana
370,2155,banana,4,1.0,data,4banana
371,2183,banana,4,1.0,data,4banana
372,2194,banana,4,1.0,data,4banana
373,2248,banana,4,1.0,data,4banana
374,2281,banana,4,1.0,data,4banana
375,2321,banana,4,1.0,data,4banana
376,4125,banana,4,1.0,data,4banana
377,4159,banana,4,1.0,data,4banana
378,4188,banana,4,1.0,data,4banana
379,4233,banana,4,1.0,data,4banana
380,4244,banana,4,1.0,data,4banana
381,4298,banana,4,1.0,data,4banana
382,4334,banana,4,1.0,data,4banana
383,4363,banana,4,1.0,data,4banana
384,4385,banana,4,1.0,data,4banana
385,4431,banana,4,1.0,data,4banana
386,4459,banana,4,1.0,data,4banana
387,4506,banana,4,0.0,data,4banana
388,4548,banana,4,1.0,data,4banana
389,4594,banana,4,0.0,data,4banana
390,4628,banana,4,1.0,data,4banana
391,4649,banana,4,1.0,data,4banana
392,5572,banana,4,1.0,data,4banana
393,5609,banana,4,1.0,data,4banana
394,5648,banana,4,1.0,data,4banana
395,5671,banana,4,1.0,data,4banana
396,5730,banana,4,1.0,data,4banana
397,5765,banana,4,1.0,data,4banana
398,5787,banana,4,1.0,data,4banana
399,5806,banana,4,1.0,data,4banana
400,6453,banana,4,1.0,data,4banana
401,6494,banana,4,1.0,data,4banana
402,6502,banana,4,1.0,data,4banana
403,6564,banana,4,1.0,data,4banana
404,6607,banana,4,1.0,data,4banana
405,6623,banana,4,1.0,data,4banana
406,6652,banana,4,1.0,data,4banana
407,6697,banana,4,1.0,data,4banana
408,6725,banana,4,1.0,data,4banana
409,6787,banana,4,1.0,data,4banana
410,6793,banana,4,1.0,data,4banana
411,6860,banana,4,1.0,data,4banana
412,6886,banana,4,1.0,data,4banana
413,6928,banana,4,1.0,data,4banana
414,6958,banana,4,1.0,data,4banana
415,6991,banana,4,1.0,data,4banana
416,7316,banana,4,1.0,data,4banana
417,7369,banana,4,1.0,data,4banana
418,7406,banana,4,1.0,data,4banana
419,7432,banana,4,1.0,data,4banana
420,7471,banana,4,1.0,data,4banana
421,7509,banana,4,1.0,data,4banana
422,7534,banana,4,1.0,data,4banana
423,7571,banana,4,1.0,data,4banana
424,8188,banana,4,1.0,data,4banana
425,8223,banana,4,1.0,data,4banana
426,8253,banana,4,1.0,data,4banana
427,8298,banana,4,1.0,data,4banana
428,8336,banana,4,1.0,data,4banana
429,8367,banana,4,1.0,data,4banana
430,8426,banana,4,1.0,data,4banana
431,8457,banana,4,1.0,data,4banana
432,8792,banana,4,1.0,data,4banana
433,8817,banana,4,1.0,data,4banana
434,8866,banana,4,0.0,data,4banana
435,8874,banana,4,1.0,data,4banana
436,8941,banana,4,0.0,data,4banana
437,8948,banana,4,1.0,data,4banana
438,9011,banana,4,1.0,data,4banana
439,9019,banana,4,0.0,data,4banana
440,9082,banana,4,1.0,data,4banana
441,9113,banana,4,1.0,data,4banana
442,9134,banana,4,1.0,data,4banana
443,9164,banana,4,1.0,data,4banana
444,9220,banana,4,1.0,data,4banana
445,9259,banana,4,1.0,data,4banana
446,9273,banana,4,1.0,data,4banana
447,9331,banana,4,1.0,data,4banana
448,10525,banana,4,1.0,data,4banana
449,10565,banana,4,1.0,data,4banana
450,10619,banana,4,1.0,data,4banana
451,10630,banana,4,1.0,data,4banana
452,10676,banana,4,1.0,data,4banana
453,10704,banana,4,1.0,data,4banana
454,10754,banana,4,1.0,data,4banana
455,10771,banana,4,1.0,data,4banana
456,11104,banana,4,1.0,data,4banana
457,11138,banana,4,1.0,data,4banana
458,11179,banana,4,1.0,data,4banana
459,11233,banana,4,1.0,data,4banana
460,11265,banana,4,1.0,data,4banana
461,11284,banana,4,1.0,data,4banana
462,11330,banana,4,1.0,data,4banana
463,11371,banana,4,1.0,data,4banana
464,11392,banana,4,0.0,data,4banana
465,11435,banana,4,1.0,data,4banana
466,11479,banana,4,0.0,data,4banana
467,11510,banana,4,1.0,data,4banana
468,11570,banana,4,0.0,data,4banana
469,11580,banana,4,0.0,data,4banana
470,11613,banana,4,1.0,data,4banana
471,11657,banana,4,0.0,data,4banana
472,11701,banana,4,0.0,data,4banana
473,11733,banana,4,1.0,data,4banana
474,11767,banana,4,0.0,data,4banana
475,11804,banana,4,1.0,data,4banana
476,11836,banana,4,0.0,data,4banana
477,11882,banana,4,1.0,data,4banana
478,11931,banana,4,0.0,data,4banana
479,11966,banana,4,0.0,data,4banana
480,12288,banana,4,0.0,data,4banana
481,12320,banana,4,0.0,data,4banana
482,12366,banana,4,1.0,data,4banana
483,12379,banana,4,1.0,data,4banana
484,12438,banana,4,0.0,data,4banana
485,12465,banana,4,0.0,data,4banana
486,12499,banana,4,1.0,data,4banana
487,12537,banana,4,1.0,data,4banana
488,13158,banana,4,1.0,data,4banana
489,13197,banana,4,1.0,data,4banana
490,13242,banana,4,1.0,data,4banana
491,13267,banana,4,1.0,data,4banana
492,13321,banana,4,1.0,data,4banana
493,13343,banana,4,1.0,data,4banana
494,13360,banana,4,1.0,data,4banana
495,13412,banana,4,1.0,data,4banana
496,13752,banana,4,1.0,data,4banana
497,13797,banana,4,1.0,data,4banana
498,13829,banana,4,1.0,data,4banana
499,13867,banana,4,1.0,data,4banana
500,13872,banana,4,1.0,data,4banana
501,13934,banana,4,1.0,data,4banana
502,13951,banana,4,1.0,data,4banana
503,13982,banana,4,1.0,data,4banana
504,14620,banana,4,0.0,data,4banana
505,14659,banana,4,1.0,data,4banana
506,14683,banana,4,0.0,data,4banana
507,14724,banana,4,0.0,data,4banana
508,14765,banana,4,0.0,data,4banana
509,14809,banana,4,0.0,data,4banana
510,14826,banana,4,1.0,data,4banana
511,14890,banana,4,0.0,data,4banana
512,14896,banana,4,1.0,data,4banana
513,14941,banana,4,1.0,data,4banana
514,15001,banana,4,1.0,data,4banana
515,15031,banana,4,1.0,data,4banana
516,15054,banana,4,1.0,data,4banana
517,15107,banana,4,1.0,data,4banana
518,15144,banana,4,1.0,data,4banana
519,15182,banana,4,1.0,data,4banana
520,15488,banana,4,1.0,data,4banana
521,15539,banana,4,1.0,data,4banana
522,15581,banana,4,1.0,data,4banana
523,15619,banana,4,1.0,data,4banana
524,15629,banana,4,1.0,data,4banana
525,15668,banana,4,1.0,data,4banana
526,15722,banana,4,1.0,data,4banana
527,15758,banana,4,1.0,data,4banana
528,16072,banana,4,1.0,data,4banana
529,16117,banana,4,1.0,data,4banana
530,16143,banana,4,1.0,data,4banana
531,16194,banana,4,0.0,data,4banana
532,16229,banana,4,1.0,data,4banana
533,16255,banana,4,1.0,data,4banana
534,16312,banana,4,1.0,data,4banana
535,16318,banana,4,1.0,data,4banana
536,16388,banana,4,1.0,data,4banana
537,16394,banana,4,1.0,data,4banana
538,16440,banana,4,1.0,data,4banana
539,16483,banana,4,1.0,data,4banana
540,16534,banana,4,1.0,data,4banana
541,16561,banana,4,1.0,data,4banana
542,16581,banana,4,1.0,data,4banana
543,16611,banana,4,1.0,data,4banana
544,16648,banana,4,1.0,data,4banana
545,16694,banana,4,1.0,data,4banana
546,16729,banana,4,1.0,data,4banana
547,16772,banana,4,1.0,data,4banana
548,16803,banana,4,1.0,data,4banana
549,16858,banana,4,1.0,data,4banana
550,16889,banana,4,1.0,data,4banana
551,16935,banana,4,1.0,data,4banana
552,16951,banana,4,0.0,data,4banana
553,17004,banana,4,0.0,data,4banana
554,17033,banana,4,0.0,data,4banana
555,17065,banana,4,0.0,data,4banana
556,17088,banana,4,1.0,data,4banana
557,17122,banana,4,1.0,data,4banana
558,17174,banana,4,0.0,data,4banana
559,17227,banana,4,0.0,data,4banana
560,18128,banana,4,1.0,data,4banana
561,18170,banana,4,0.0,data,4banana
562,18214,banana,4,0.0,data,4banana
563,18251,banana,4,1.0,data,4banana
564,18281,banana,4,0.0,data,4banana
565,18307,banana,4,1.0,data,4banana
566,18345,banana,4,1.0,data,4banana
567,18384,banana,4,1.0,data,4banana
568,18703,banana,4,1.0,data,4banana
569,18753,banana,4,0.0,data,4banana
570,18778,banana,4,0.0,data,4banana
571,18814,banana,4,0.0,data,4banana
572,18853,banana,4,0.0,data,4banana
573,18872,banana,4,0.0,data,4banana
574,18928,banana,4,1.0,data,4banana
575,18975,banana,4,0.0,data,4banana
576,19018,banana,4,1.0,data,4banana
